日期,销量(千克),销售单价(元/千克),批发价格(元/千克),损耗率_品类,成本加成定价
2020-07-01,35.374,5.066666666666666,4.259333333333333,6.679999999999999,4.531166666666667
2020-07-02,32.199,5.392857142857143,2.5092857142857143,6.68,4.39125
2020-07-03,35.896,5.7368421052631575,4.421052631578947,6.68,5.1431578947368415
2020-07-06,30.727,7.017543859649122,3.5412280701754386,6.68,6.197149122807017
2020-07-07,32.112,6.071428571428571,3.4482142857142857,6.68,5.872544642857143
2020-07-08,39.67,6.0421875,3.68484375,6.68,5.83390625
2020-07-09,25.921,7.666666666666667,3.812291666666667,6.68,6.1933854166666675
2020-07-10,37.86,7.479032258064516,4.937741935483871,6.68,7.374193548387097
2020-07-13,44.379,7.0151898734177225,4.158227848101266,6.680000000000001,6.522911392405064
2020-07-14,34.747,6.65,3.92671875,6.68,6.09015625
2020-07-15,38.17,7.507142857142857,4.322857142857143,6.68,6.710357142857143
2020-07-16,26.586,7.512962962962963,4.297037037037037,6.68,6.77361111111111
2020-07-17,37.251,7.9,4.562463768115942,6.68,7.528188405797102
2020-07-20,33.947,8.282539682539682,4.341428571428572,6.68,7.154404761904761
2020-07-21,27.094,7.690196078431373,4.308627450980392,6.68,7.088431372549019
2020-07-22,48.247,7.731111111111111,4.179222222222222,6.679999999999999,7.147333333333333
2020-07-23,44.142,7.643055555555555,4.3711111111111105,6.68,7.1686805555555555
2020-07-24,34.97,8.335714285714285,4.830178571428571,6.68,7.696696428571428
2020-07-27,36.121,7.432203389830509,4.898305084745763,6.68,7.432203389830509
2020-07-28,40.34,8.006666666666666,5.1546666666666665,6.679999999999999,7.997916666666667
2020-07-29,40.777,8.033333333333333,4.936956521739131,6.68,7.963333333333334
2020-07-30,46.311,7.745679012345679,4.809506172839506,6.679999999999999,7.695277777777778
2020-07-31,34.092,7.962264150943396,4.888490566037737,6.68,7.910141509433963
2020-08-01,48.805,7.398888888888889,4.465333333333334,6.679999999999999,7.325694444444444
2020-08-03,45.191,6.817073170731708,3.8685365853658533,6.68,6.646036585365854
2020-08-04,30.591,7.571428571428571,3.9158928571428575,6.68,6.8528125
2020-08-05,49.472,7.576470588235294,4.130588235294117,6.68,7.127588235294117
2020-08-06,31.596,8.0,4.6992982456140355,6.68,7.7596491228070175
2020-08-10,47.664,4.988235294117647,2.708235294117647,6.68,4.502235294117647
2020-08-11,33.572,5.016666666666667,2.6511666666666667,6.679999999999999,4.326458333333333
2020-08-12,36.009,6.863636363636363,3.3313636363636365,6.68,5.0227272727272725
2020-08-13,31.109,6.913793103448276,2.716379310344828,6.68,4.747456896551724
2020-08-14,37.826,7.3283582089552235,5.30044776119403,6.68,7.116231343283582
2020-08-15,43.278999999999996,7.390243902439025,5.154878048780487,6.68,6.956158536585366
2020-08-16,48.366,7.130952380952381,4.312261904761905,6.68,6.440327380952381
2020-08-17,35.014,7.34375,4.97375,6.68,7.082890625
2020-08-18,34.019,7.621212121212121,4.680606060606061,6.68,7.377272727272727
2020-08-19,30.347,7.614035087719298,4.757894736842105,6.68,7.3807017543859645
2020-08-20,37.957,8.761194029850746,5.634776119402986,6.68,7.973731343283582
2020-08-21,29.694,8.37037037037037,5.364444444444445,6.68,8.074814814814815
2020-08-22,30.422,9.60344827586207,5.608620689655172,6.68,9.349094827586207
2020-08-23,47.316,9.733333333333333,6.512666666666666,6.679999999999999,9.733333333333333
2020-08-24,26.874,8.6,5.6934545454545455,6.68,8.6
2020-08-25,23.272,10.057692307692308,6.446153846153846,6.680000000000001,10.057692307692308
2020-08-26,30.722,10.127272727272727,6.881454545454546,6.68,10.127272727272727
2020-08-27,19.129,10.40625,6.17375,6.68,10.17265625
2020-08-28,24.597,10.651162790697674,6.459999999999999,6.680000000000001,10.601511627906975
2020-08-29,30.675,10.942307692307692,6.616153846153846,6.680000000000001,10.942307692307692
2020-08-30,21.641000000000002,10.307692307692308,6.474871794871794,6.68,10.307692307692308
2020-08-31,15.943,9.866666666666667,7.532,6.679999999999999,9.866666666666667
2020-09-01,26.329,10.44186046511628,7.741627906976744,6.680000000000001,10.441860465116278
2020-09-02,13.873000000000001,10.4,7.9428,6.68,10.399999999999999
2020-09-03,14.172,10.571428571428571,7.497142857142857,6.68,10.571428571428571
2020-09-04,20.233,9.23076923076923,7.005641025641026,6.68,9.23076923076923
2020-09-05,33.731,9.903225806451612,7.655806451612904,6.68,9.903225806451612
2020-09-06,33.397,10.225806451612904,7.843548387096774,6.68,10.225806451612904
2020-09-07,17.365000000000002,9.8125,6.9215625,6.68,9.8125
2020-09-08,20.623,9.945945945945946,6.938918918918919,6.68,9.945945945945946
2020-09-09,12.041,9.28,7.0252,6.68,9.28
2020-09-10,16.916,9.46875,6.85,6.68,9.46875
2020-09-11,22.019,7.909090909090909,5.473939393939394,6.68,7.909090909090909
2020-09-12,21.411,9.341463414634147,6.278536585365854,6.68,9.341463414634147
2020-09-13,28.737,10.035087719298245,6.480350877192983,6.68,9.990877192982454
2020-09-14,16.134,8.709677419354838,5.695483870967742,6.68,8.461290322580645
2020-09-15,13.243,8.074074074074074,4.260370370370371,6.68,7.433425925925927
2020-09-16,15.194,8.7,5.678333333333333,6.679999999999999,8.633999999999999
2020-09-17,22.924,8.179487179487179,5.49974358974359,6.68,8.179487179487179
2020-09-18,13.805,8.0,4.8100000000000005,6.68,7.973888888888889
2020-09-19,30.406,8.210526315789474,5.127543859649123,6.68,8.120131578947367
2020-09-20,41.474,7.506329113924051,4.883924050632912,6.680000000000001,7.085601265822786
2020-09-21,20.868,7.380952380952381,4.18547619047619,6.68,7.237916666666665
2020-09-22,25.819,6.875,4.0008333333333335,6.68,6.71125
2020-09-23,22.515,7.023255813953488,4.2806976744186045,6.680000000000001,6.982965116279069
2020-09-24,18.9,7.138888888888889,4.447777777777778,6.68,7.138888888888889
2020-09-25,26.529,6.555555555555555,4.037777777777778,6.679999999999999,6.555555555555555
2020-09-26,33.517,6.706896551724138,4.128448275862069,6.68,6.6482758620689655
2020-09-27,20.532,7.194444444444445,4.385000000000001,6.68,7.194444444444445
2020-09-28,18.401,6.266666666666667,4.042666666666666,6.679999999999999,6.262083333333334
2020-09-29,24.719,6.0212765957446805,4.145957446808511,6.68,5.981063829787234
2020-09-30,25.865,6.159090909090909,3.980454545454546,6.679999999999999,6.105
2020-10-01,32.482,5.943396226415095,3.7233962264150944,6.68,5.943396226415095
2020-10-02,38.762,5.46060606060606,3.8651515151515152,6.68,5.46060606060606
2020-10-04,43.849,5.286746987951807,3.8043373493975903,6.68,5.286746987951807
2020-10-05,31.128,5.925925925925926,3.870740740740741,6.68,5.925925925925926
2020-10-06,42.318,6.2560975609756095,4.099024390243902,6.68,6.2560975609756095
2020-10-07,29.085,6.610909090909091,4.2681818181818185,6.68,6.610909090909091
2020-10-08,33.49,6.295081967213115,3.904098360655738,6.68,6.295081967213115
2020-10-09,24.289,7.175,4.41975,6.68,7.134062500000001
2020-10-10,26.814,6.729166666666667,4.095416666666666,6.68,6.676041666666666
2020-10-11,34.726,7.25,4.611166666666667,6.679999999999999,7.25
2020-10-12,17.876,7.5,4.6290625,6.68,7.499999999999999
2020-10-13,23.119,7.425531914893617,4.766808510638298,6.68,7.425531914893617
2020-10-14,13.741999999999999,7.36551724137931,4.752758620689655,6.68,7.36551724137931
2020-10-15,19.447,6.92,4.7025,6.68,6.92
2020-10-16,20.139,6.590000000000001,4.66375,6.68,6.590000000000001
2020-10-17,30.556,6.455737704918033,4.595737704918033,6.68,6.455737704918033
2020-10-18,36.361,6.433333333333334,4.4575,6.68,6.433333333333334
2020-10-19,20.03,6.48,4.5685714285714285,6.68,6.48
2020-10-20,13.777,6.346666666666667,4.5040000000000004,6.679999999999999,6.346666666666667
2020-10-21,15.327,7.006451612903225,4.449354838709677,6.68,7.006451612903225
2020-10-22,14.725,7.135714285714286,4.427857142857143,6.68,7.108839285714287
2020-10-23,14.427,6.633333333333334,4.451,6.679999999999999,6.586166666666667
2020-10-24,22.221,6.75897435897436,4.349743589743589,6.68,6.723717948717949
